name	type	latlon
Training	wifi	"37.24500715,-93.41151405"
Services	wifi	"37.15849264,-93.34829316"
Marketing	wifi	"37.24459742,-93.41255901"
Marketing	wifi	"37.11895242,-93.36355574"
Human Resources	wifi	"37.24434088,-93.40911173"
Business Development	wifi	"37.20614036,-93.17159424"
Services	wifi	"37.11005306,-93.32004901"
Business Development	wifi	"37.16061471,-93.30670116"
Product Management	wifi	"37.25091967,-93.21226854"
Legal	wifi	"37.20407659,-93.17381982"
Accounting	wifi	"37.10718082,-93.19286048"
Human Resources	wifi	"37.11418864,-93.20268829"
Support	wifi	"37.18425154,-93.13085239"
Sales	wifi	"37.26108824,-93.12418771"
Services	wifi	"37.30609993,-93.27929673"
Human Resources	wifi	"37.1559502,-93.19688362"
Human Resources	wifi	"37.07851034,-93.24069346"
Accounting	wifi	"37.18635752,-93.45960268"
Sales	wifi	"37.17383603,-93.38792637"
Sales	wifi	"37.1352334,-93.44185187"
Legal	wifi	"37.34268457,-93.27315254"
Marketing	wifi	"37.2652481,-93.16568258"
Business Development	wifi	"37.1545775,-93.25894787"
Sales	wifi	"37.2101723,-93.37388011"
Training	wifi	"37.32032176,-93.22516637"
Legal	wifi	"37.23743919,-93.41334264"
Research and Development	wifi	"37.2535481,-93.24364747"
Human Resources	wifi	"37.13200777,-93.16764506"
Research and Development	wifi	"37.26445393,-93.18813646"
Services	wifi	"37.20837056,-93.15080429"
Accounting	wifi	"37.18206182,-93.42290977"
Accounting	wifi	"37.1665136,-93.32684148"
Product Management	wifi	"37.20191195,-93.457015"
Marketing	wifi	"37.08240978,-93.32582644"
Sales	wifi	"37.21497645,-93.39422499"
Legal	wifi	"37.27112972,-93.15831926"
Product Management	wifi	"37.30457479,-93.42809235"
Business Development	wifi	"37.3460841,-93.32516391"
Product Management	wifi	"37.21504086,-93.40953522"
Business Development	wifi	"37.30610217,-93.2973638"
Marketing	wifi	"37.15744722,-93.2464193"
Training	wifi	"37.26921503,-93.20979027"
Business Development	wifi	"37.28933565,-93.17590005"
Training	wifi	"37.29885735,-93.22648351"
Marketing	wifi	"37.30809013,-93.21693824"
Support	wifi	"37.19750346,-93.36544977"
Engineering	wifi	"37.34387268,-93.35453466"
Training	wifi	"37.31573247,-93.18940744"
Human Resources	wifi	"37.24139096,-93.18182325"
Support	wifi	"37.30213554,-93.17912342"
Legal	wifi	"37.27344483,-93.28830751"
Legal	wifi	"37.11030338,-93.198611"
Marketing	wifi	"37.20096993,-93.21867388"
Sales	wifi	"37.14898806,-93.35828666"
Sales	wifi	"37.22972682,-93.43285743"
Training	wifi	"37.21340042,-93.15750143"
Human Resources	wifi	"37.31017252,-93.41598899"
Legal	wifi	"37.27328805,-93.22729882"
Legal	wifi	"37.14377036,-93.39041296"
Training	wifi	"37.34100028,-93.26336342"
Sales	wifi	"37.19515971,-93.20756879"
Business Development	wifi	"37.16618544,-93.34629689"
Business Development	wifi	"37.22440596,-93.45832823"
Legal	wifi	"37.16037202,-93.21082648"
Business Development	wifi	"37.28327209,-93.21865169"
Services	wifi	"37.16137348,-93.41109414"
Business Development	wifi	"37.10438921,-93.29047445"
Support	wifi	"37.17958144,-93.33906755"
Engineering	wifi	"37.11739642,-93.22514961"
Training	wifi	"37.29149627,-93.1873291"
Marketing	wifi	"37.18558812,-93.35498533"
Engineering	wifi	"37.32837234,-93.35655507"
Business Development	wifi	"37.31947794,-93.36932659"
Human Resources	wifi	"37.2700511,-93.34263512"
Support	wifi	"37.32341836,-93.37699505"
Product Management	wifi	"37.31317013,-93.20894785"
Sales	wifi	"37.09559679,-93.29335513"
Services	wifi	"37.07707304,-93.31453365"
Services	wifi	"37.15268733,-93.25714632"
Human Resources	wifi	"37.19154664,-93.33738388"
Marketing	wifi	"37.29896331,-93.28622823"
Support	wifi	"37.2019505,-93.35037567"
Support	wifi	"37.21882069,-93.11414359"
Engineering	wifi	"37.25643929,-93.44640696"
Services	wifi	"37.33603086,-93.24095625"
Legal	wifi	"37.26209511,-93.3664022"
Services	wifi	"37.26698572,-93.14814701"
Accounting	wifi	"37.11411198,-93.20547236"
Legal	wifi	"37.20935805,-93.27463685"
Research and Development	wifi	"37.09064009,-93.25548917"
Legal	wifi	"37.15731183,-93.30235529"
Human Resources	wifi	"37.23383535,-93.32234652"
Marketing	wifi	"37.19356979,-93.29586322"
Services	wifi	"37.13692146,-93.23296405"
Training	wifi	"37.34027849,-93.33348048"
Support	wifi	"37.14391038,-93.16693614"
Services	wifi	"37.18176306,-93.3056513"
Legal	wifi	"37.29871458,-93.26129351"
Business Development	wifi	"37.28190715,-93.15516715"
Research and Development	wifi	"37.21635387,-93.29046057"
Marketing	wifi	"37.3313196,-93.31669173"
Marketing	wifi	"37.11421331,-93.26812472"
Services	wifi	"37.24911479,-93.18383102"
Accounting	wifi	"37.22219505,-93.29076453"
Marketing	wifi	"37.32252327,-93.19728555"
Engineering	wifi	"37.27188175,-93.1765821"
Human Resources	wifi	"37.20491696,-93.27021231"
Support	wifi	"37.09884715,-93.40662291"
Sales	wifi	"37.30909813,-93.34478393"
Engineering	wifi	"37.11854701,-93.18699285"
Business Development	wifi	"37.19425574,-93.27653003"
Business Development	wifi	"37.23552022,-93.39865803"
Business Development	wifi	"37.33899434,-93.3337724"
Training	wifi	"37.10497243,-93.17262254"
Product Management	wifi	"37.25547002,-93.18104934"
Training	wifi	"37.1476358,-93.15449236"
Marketing	wifi	"37.19084846,-93.34241796"
Support	wifi	"37.29442559,-93.2650325"
Engineering	wifi	"37.18471298,-93.31677376"
Legal	wifi	"37.19719545,-93.16872696"
Research and Development	wifi	"37.15552515,-93.20046188"
Sales	wifi	"37.21833572,-93.16205738"
Business Development	wifi	"37.15632169,-93.15317674"
Support	wifi	"37.17961287,-93.22171019"
Services	wifi	"37.11639716,-93.34714392"
Legal	wifi	"37.34647001,-93.28586808"
Engineering	wifi	"37.19043783,-93.17606114"
Training	wifi	"37.16606261,-93.19147443"
Support	wifi	"37.15625271,-93.31556224"
Research and Development	wifi	"37.25341263,-93.43455935"
Human Resources	wifi	"37.22948034,-93.41689823"
Support	wifi	"37.25994411,-93.31241384"
Sales	wifi	"37.09315361,-93.25789316"
Sales	wifi	"37.24001241,-93.41066424"
Services	wifi	"37.20168582,-93.24411738"
Sales	wifi	"37.28273428,-93.2789391"
Marketing	wifi	"37.16538339,-93.36791634"
Research and Development	wifi	"37.19511658,-93.22469261"
Training	wifi	"37.19007961,-93.21009877"
Training	wifi	"37.20646902,-93.39059573"
Services	wifi	"37.32813722,-93.36761217"
Research and Development	wifi	"37.25759259,-93.21603755"
Services	wifi	"37.18223604,-93.22184033"
Support	wifi	"37.20656824,-93.16853685"
Product Management	wifi	"37.34947949,-93.26301013"
Legal	wifi	"37.14614889,-93.26486809"
Services	wifi	"37.19577096,-93.22095248"
Business Development	wifi	"37.26455056,-93.13597465"
Research and Development	wifi	"37.30554422,-93.34716916"
Legal	wifi	"37.13397617,-93.21641698"
Business Development	wifi	"37.27938777,-93.43811067"
Marketing	wifi	"37.08489961,-93.35368634"
Services	wifi	"37.22592169,-93.16816511"
Business Development	wifi	"37.32125643,-93.29453908"
Sales	wifi	"37.1643173,-93.31381483"
Business Development	wifi	"37.18351022,-93.40512125"
Engineering	wifi	"37.14290848,-93.43293385"
Research and Development	wifi	"37.2845215,-93.19992318"
Support	wifi	"37.33937684,-93.35583242"
Human Resources	wifi	"37.14249592,-93.27533836"
Business Development	wifi	"37.13212007,-93.36636228"
Marketing	wifi	"37.31815026,-93.26033315"
Product Management	wifi	"37.14214169,-93.16940869"
Accounting	wifi	"37.22600003,-93.26646487"
Product Management	wifi	"37.25549611,-93.37919945"
Product Management	wifi	"37.24625733,-93.15669548"
Sales	wifi	"37.25419003,-93.25214268"
Support	wifi	"37.24526462,-93.20413775"
Research and Development	wifi	"37.09153256,-93.2738587"
Legal	wifi	"37.12422161,-93.28646042"
Training	wifi	"37.26128585,-93.39997376"
Marketing	wifi	"37.18366348,-93.28148885"
Business Development	wifi	"37.26977861,-93.30510778"
Sales	wifi	"37.2083696,-93.44840325"
Accounting	wifi	"37.112465,-93.36498269"
Marketing	wifi	"37.28658456,-93.37829252"
Research and Development	wifi	"37.28862746,-93.32918102"
Human Resources	wifi	"37.2307706,-93.44486415"
Services	wifi	"37.09335663,-93.2064187"
Support	wifi	"37.34652711,-93.25870681"
Research and Development	wifi	"37.27176324,-93.16806948"
Legal	wifi	"37.28373546,-93.20840642"
Accounting	wifi	"37.25707485,-93.31044496"
Training	wifi	"37.089906,-93.211607"
Support	wifi	"37.29297456,-93.25003765"
Product Management	wifi	"37.13566993,-93.25491807"
Accounting	wifi	"37.23994514,-93.38165343"
Legal	wifi	"37.21007303,-93.27481782"
Sales	wifi	"37.16301797,-93.15902186"
Sales	wifi	"37.09534586,-93.33445048"
Training	wifi	"37.21916249,-93.14319641"
Services	wifi	"37.210782,-93.26468818"
Support	wifi	"37.21038486,-93.39563039"
Training	wifi	"37.20235384,-93.28703452"
Engineering	wifi	"37.20965526,-93.16273058"
Marketing	wifi	"37.13933357,-93.3442528"
Marketing	wifi	"37.25739047,-93.29137246"
Engineering	wifi	"37.23456443,-93.2820517"
Human Resources	wifi	"37.31162,-93.17629729"
Business Development	wifi	"37.07756404,-93.32302746"
Accounting	wifi	"37.25991463,-93.34044441"
Legal	wifi	"37.19986485,-93.38053154"
Legal	wifi	"37.07461469,-93.25714527"
Product Management	wifi	"37.1232591,-93.14856849"
Legal	wifi	"37.23729648,-93.38060561"
Services	wifi	"37.09413006,-93.33629638"
Sales	wifi	"37.15211494,-93.13897001"
Accounting	wifi	"37.1812636,-93.37255667"
Marketing	wifi	"37.19018897,-93.35350551"
Human Resources	wifi	"37.25155962,-93.17381871"
Legal	wifi	"37.31259341,-93.24333057"
Marketing	wifi	"37.12562698,-93.41986185"
Engineering	wifi	"37.15440509,-93.13791647"
Support	wifi	"37.27085247,-93.17729259"
Services	wifi	"37.28345297,-93.33632625"
Research and Development	wifi	"37.17377408,-93.2339106"
Research and Development	wifi	"37.17018533,-93.18008939"
Legal	wifi	"37.10929772,-93.26811786"
Marketing	wifi	"37.18883487,-93.46136117"
Engineering	wifi	"37.25228765,-93.38900082"
Training	wifi	"37.13900639,-93.4182151"
Research and Development	wifi	"37.10060165,-93.18280273"
Services	wifi	"37.32940138,-93.22070015"
Product Management	wifi	"37.21481684,-93.24923505"
Marketing	wifi	"37.25972594,-93.40541461"
Training	wifi	"37.18987817,-93.35235357"
Engineering	wifi	"37.20743019,-93.38582773"
Training	wifi	"37.32399258,-93.28148862"
Legal	wifi	"37.12683829,-93.14391545"
Accounting	wifi	"37.12201564,-93.17697153"
Sales	wifi	"37.24613146,-93.34927037"
Accounting	wifi	"37.31140739,-93.22975718"
Services	wifi	"37.24893519,-93.3567493"
Services	wifi	"37.2036425,-93.17831614"
Sales	wifi	"37.28266155,-93.33063555"
Support	wifi	"37.11398458,-93.19730677"
Services	wifi	"37.28738957,-93.38048353"
Sales	wifi	"37.15866191,-93.2496693"
Human Resources	wifi	"37.08419936,-93.2140701"
Business Development	wifi	"37.14968459,-93.44175202"
Sales	wifi	"37.12364163,-93.18614476"
Sales	wifi	"37.25946933,-93.16684745"
Human Resources	wifi	"37.09369486,-93.32048485"
Business Development	wifi	"37.2971181,-93.25978146"
Sales	wifi	"37.32474141,-93.290265"
Sales	wifi	"37.30897527,-93.29897711"
Engineering	wifi	"37.21068341,-93.28994245"
Human Resources	wifi	"37.15576052,-93.22030886"
Legal	wifi	"37.31391096,-93.18017383"
Marketing	wifi	"37.29028416,-93.17747429"
Accounting	wifi	"37.27698456,-93.35952939"
Engineering	wifi	"37.15348576,-93.14069396"
Research and Development	wifi	"37.28888004,-93.30989754"
Business Development	wifi	"37.14427118,-93.30302679"
Support	wifi	"37.091934,-93.38216429"
Training	wifi	"37.28498413,-93.16865702"
Business Development	wifi	"37.10580805,-93.3528094"
Marketing	wifi	"37.17612219,-93.32388252"
Services	wifi	"37.21175997,-93.39192972"
Legal	wifi	"37.23721725,-93.13027242"
Accounting	wifi	"37.18579077,-93.44347582"
Marketing	wifi	"37.30259117,-93.20672487"
Services	wifi	"37.22601895,-93.25586261"
Sales	wifi	"37.1616946,-93.43020857"
Accounting	wifi	"37.27572356,-93.30291529"
Sales	wifi	"37.18994797,-93.28931151"
Training	wifi	"37.27597953,-93.20002164"
Services	wifi	"37.14939659,-93.36785741"
Legal	wifi	"37.16915893,-93.30557004"
Training	wifi	"37.2060259,-93.37907671"
Research and Development	wifi	"37.17271633,-93.22370861"
Sales	wifi	"37.23759307,-93.13238169"
Business Development	wifi	"37.12170703,-93.41432511"
Legal	wifi	"37.22714517,-93.39227364"
Marketing	wifi	"37.13299874,-93.2429611"
Accounting	wifi	"37.23591539,-93.43992252"
Marketing	wifi	"37.30680807,-93.35010051"
Accounting	wifi	"37.13917693,-93.38095918"
Training	wifi	"37.10121718,-93.29913637"
Support	wifi	"37.25801454,-93.12374446"
Business Development	wifi	"37.18019403,-93.19565765"
Services	wifi	"37.28123645,-93.18116278"
Engineering	wifi	"37.14591496,-93.40562836"
Engineering	wifi	"37.27839536,-93.39503081"
Services	wifi	"37.25821867,-93.40354294"
Human Resources	wifi	"37.11843813,-93.33519184"
Support	wifi	"37.2178415,-93.11506368"
Business Development	wifi	"37.14797492,-93.34016352"
Services	wifi	"37.11000311,-93.27220209"
Marketing	wifi	"37.3076903,-93.40349505"
Engineering	wifi	"37.08786178,-93.28127706"
Product Management	wifi	"37.27561852,-93.20194166"
Research and Development	wifi	"37.27273291,-93.19934126"
Training	wifi	"37.11288416,-93.20725031"
Marketing	wifi	"37.13869919,-93.37022709"
Marketing	wifi	"37.29327384,-93.1824226"
Support	wifi	"37.14080998,-93.2802433"
Product Management	wifi	"37.26361898,-93.34207825"
Support	wifi	"37.23439954,-93.15920515"
Business Development	wifi	"37.19060686,-93.21051176"
Legal	wifi	"37.08272222,-93.2303035"
Product Management	wifi	"37.13008189,-93.18644074"
Services	wifi	"37.08166424,-93.36815204"
Sales	wifi	"37.12139309,-93.38383847"
Engineering	wifi	"37.18542595,-93.38304502"
Research and Development	wifi	"37.35332953,-93.29941268"
Business Development	wifi	"37.17322747,-93.26566476"
Marketing	wifi	"37.1813721,-93.35593553"
Research and Development	wifi	"37.15832312,-93.43165885"
Training	wifi	"37.23372605,-93.4142216"
Business Development	wifi	"37.22685238,-93.43783284"
Marketing	wifi	"37.07317201,-93.26992714"
Legal	wifi	"37.13570107,-93.17806791"
Business Development	wifi	"37.10449668,-93.34617292"
Business Development	wifi	"37.08424268,-93.33163767"
Research and Development	wifi	"37.14321804,-93.32594884"
Support	wifi	"37.23016858,-93.23268388"
Sales	wifi	"37.10516321,-93.41719317"
Product Management	wifi	"37.20341725,-93.14231117"
Sales	wifi	"37.22879974,-93.45735844"
Training	wifi	"37.23292479,-93.44343972"
Services	wifi	"37.14702711,-93.28021733"
Business Development	wifi	"37.2231893,-93.30155117"
Business Development	wifi	"37.10592886,-93.36041535"
Legal	wifi	"37.21204041,-93.15351168"
Training	wifi	"37.33288476,-93.25907604"
Services	wifi	"37.2245622,-93.24536789"
Human Resources	wifi	"37.19197652,-93.43441156"
Accounting	wifi	"37.20864003,-93.21264737"
Engineering	wifi	"37.15495758,-93.14286929"
Product Management	wifi	"37.14664996,-93.40782014"
Product Management	wifi	"37.13814122,-93.17759694"
Accounting	wifi	"37.31361427,-93.35476867"
Business Development	wifi	"37.25596688,-93.14935219"
Legal	wifi	"37.1172538,-93.41174428"
Research and Development	wifi	"37.10889426,-93.39354158"
Human Resources	wifi	"37.10168205,-93.19988454"
Accounting	wifi	"37.26610819,-93.43101741"
Human Resources	wifi	"37.14624223,-93.40987805"
Research and Development	wifi	"37.27699732,-93.31883295"
Accounting	wifi	"37.11954782,-93.35291016"
Research and Development	wifi	"37.15363801,-93.33554946"
Business Development	wifi	"37.15842447,-93.40828032"
Business Development	wifi	"37.29061959,-93.33671447"
Services	wifi	"37.25086848,-93.30174173"
Support	wifi	"37.20105035,-93.19137308"
Product Management	wifi	"37.2199208,-93.32721685"
Accounting	wifi	"37.09321193,-93.36920077"
Product Management	wifi	"37.27574601,-93.31724923"
Services	wifi	"37.18756085,-93.33596645"
Accounting	wifi	"37.24085813,-93.37690387"
Support	wifi	"37.16943432,-93.40307733"
Business Development	wifi	"37.30614471,-93.19493373"
Accounting	wifi	"37.24618839,-93.26340699"
Services	wifi	"37.16123459,-93.22101847"
Marketing	wifi	"37.24885481,-93.20175979"
Product Management	wifi	"37.2522395,-93.25466748"
Marketing	wifi	"37.19955902,-93.42191687"
Marketing	wifi	"37.22206446,-93.46396391"
Human Resources	wifi	"37.30295665,-93.32230591"
Human Resources	wifi	"37.14308803,-93.13105314"
Services	wifi	"37.34972763,-93.33023456"
Marketing	wifi	"37.25726555,-93.32309503"
Legal	wifi	"37.24722409,-93.25920853"
Engineering	wifi	"37.31470025,-93.28694907"
Engineering	wifi	"37.20020309,-93.23542244"
Services	wifi	"37.13260118,-93.42810031"
Engineering	wifi	"37.18677651,-93.29440029"
Sales	wifi	"37.32447423,-93.31595123"
Product Management	wifi	"37.07375716,-93.2429216"
Training	wifi	"37.13930517,-93.29425174"
Training	wifi	"37.23078389,-93.17409245"
Research and Development	wifi	"37.33141874,-93.20352072"
Support	wifi	"37.22619403,-93.17304223"
Marketing	wifi	"37.27382098,-93.21451227"
Human Resources	wifi	"37.23740683,-93.44927918"
Services	wifi	"37.26500958,-93.45498767"
Business Development	wifi	"37.30963743,-93.26441843"
Accounting	wifi	"37.22504148,-93.23532658"
Business Development	wifi	"37.33966767,-93.21970951"
Business Development	wifi	"37.12573991,-93.28056233"
Research and Development	wifi	"37.09212957,-93.36184463"
Accounting	wifi	"37.30854782,-93.23715061"
Sales	wifi	"37.1898666,-93.23180574"
Engineering	wifi	"37.17790645,-93.42289162"
Legal	wifi	"37.26112114,-93.24687857"
Business Development	wifi	"37.29821917,-93.30023889"
Product Management	wifi	"37.30742646,-93.20577212"
Product Management	wifi	"37.21043115,-93.11355649"
Human Resources	wifi	"37.13124671,-93.18749259"
Human Resources	wifi	"37.24251719,-93.32222873"
Engineering	wifi	"37.17963302,-93.1701502"
Training	wifi	"37.31945512,-93.20081787"
Support	wifi	"37.24428165,-93.12008378"
Engineering	wifi	"37.15854551,-93.12223606"
Product Management	wifi	"37.15779023,-93.37838641"
Accounting	wifi	"37.12888003,-93.22950019"
Product Management	wifi	"37.20620566,-93.45873061"
Legal	wifi	"37.22799687,-93.36264421"
Accounting	wifi	"37.16755779,-93.44604068"
Accounting	wifi	"37.21529534,-93.17573296"
Sales	wifi	"37.22263316,-93.36921652"
Research and Development	wifi	"37.1764758,-93.30003532"
Business Development	wifi	"37.30269886,-93.41392711"
Marketing	wifi	"37.18006696,-93.25592977"
Product Management	wifi	"37.16714313,-93.35843118"
Legal	wifi	"37.12217962,-93.40356204"
Services	wifi	"37.19815175,-93.25710409"
Human Resources	wifi	"37.15982077,-93.353047"
Product Management	wifi	"37.33317915,-93.24123585"
Support	wifi	"37.31269373,-93.27090682"
Training	wifi	"37.14096042,-93.39842782"
Product Management	wifi	"37.08020232,-93.23953799"
Engineering	wifi	"37.28292678,-93.41295291"
Sales	wifi	"37.12167945,-93.15750527"
Sales	wifi	"37.2910552,-93.24092694"
Product Management	wifi	"37.27797945,-93.19439229"
Product Management	wifi	"37.31427908,-93.32347673"
Research and Development	wifi	"37.21084486,-93.1949152"
Research and Development	wifi	"37.24311215,-93.36801768"
Training	wifi	"37.26466387,-93.41183454"
Sales	wifi	"37.29177249,-93.32187477"
Research and Development	wifi	"37.16847647,-93.38625823"
Product Management	wifi	"37.24153697,-93.14981107"
Marketing	wifi	"37.19716174,-93.23752982"
Legal	wifi	"37.1801051,-93.13374535"
Engineering	wifi	"37.28461498,-93.32810564"
Research and Development	wifi	"37.15446349,-93.3001632"
Accounting	wifi	"37.21243476,-93.18773868"
Legal	wifi	"37.2542574,-93.38588483"
Legal	wifi	"37.32180789,-93.18877176"
Engineering	wifi	"37.1564228,-93.21527494"
Business Development	wifi	"37.2361095,-93.32664335"
Product Management	wifi	"37.13073902,-93.20271041"
